排名,风格ID,英文风格名,中文风格名,类别ID,英文类别名,中文类别名,数据量,IBU最小值,IBU最大值,ABV最小值,ABV最大值,SRM最小值,SRM最大值,风格简介,英文详细描述
128,28,Dark American-Belgo-Style Ale,Dark American-Belgo-Style Ale,3,North American Origin Ales,北美起源艾尔,25,,,,,16,16,,"These beers must portray the unique characters imparted by yeasts typically used in fruity and big Belgian-Style ales - These beers are not traditional Belgian styles which are already defined. They are unique beers unto themselves. Notes of banana, berry, apple, sometimes coriander spice-like and/or smoky-phenolic characters should be portrayed with balance of hops and malt character when fermented with such yeast. Hop aroma, flavor and bitterness not usually found in the base style, can be medium to very high and must show the characters of American hop varieties. Dark color falls in the deep amber/brown to black range. Roasted malts or barley may have a range of character from subtle to robust, and should be reflected in the overall character and balance of the beer. Esters should be at medium to high levels. Diacetyl should not be evident. Chill haze may be evident. Sulfurlike yeast character should be absent. No Brettanomyces character should be present. An ale which exhibits Brettanomyces character would be classified as ""American-style Brett Ale.""A statement by the brewer that could include information such as style being elaborated upon, and other information about the entry with regard to flavor, aroma or appearance, is essential for fair assessment in competitions. Beers with Brettanomyces may be subcategorized under this category"
129,69,Belgian-Style Table Beer,Belgian-Style Table Beer,5,Belgian And French Origin Ales,比利时与法国起源艾尔,25,5,15,0.5,3.5,5,50,,"These ales and lagers are very low in alcohol and historically in Belgium enjoyed with meals by both adults and children. Pale to very dark brown in color. Additions of caramel coloring are sometimes employed to adjust color. They are light bodied with relatively low carbonation with limited aftertaste. The mouth feel is light to moderate, though higher than one might anticipate, usually because of unfermented sugars/malt sugars. Malted barley, wheat and rye may be used as well as unmalted wheat, rye, oats and corn. A mild malt character could be evident. Aroma/Flavor hops are most commonly used to employ a flavor balance that is only low in bitterness. Traditional versions do not use artificial sweeteners nor are they excessively sweet. More modern versions of this beer incorporate sweeteners such as sugar and saccharine added post fermentation to sweeten the palate and add to a perception of smoothness. Spices (such as orange and lemon peel, as well as coriander) may be added in barely perceptible amounts, but this is not common. Diacetyl should not be perceived. Competition directors may choose to break out subcategories of Traditional and Modern."
130,100,American-Style Malt Liquor,美式麦芽酒,8,North American Lager,北美拉格,24,12,23,6.25,7.5,2,5,,"High in starting gravity and alcoholic strength, this style is somewhat diverse. Some American malt liquors are just slightly stronger than American lagers, while others approach bock strength. Some residual sweetness is perceived. Hop rates are very low, contributing little bitterness and virtually no hop aroma or flavor. Perception of sweet-fruity esters and complex alcohols (though not solvent-like) are acceptable at low levels. Chill haze and diacetyl should not be perceived."
131,105,"Australasian, Latin American or Tropical-Style Light Lager","Australasian, Latin American or Tropical-Style Light Lager",9,Other Lager,其他拉格,22,9,18,3.8,5,2,5,,"Australasian or Tropical light lagers are very light in color and light bodied. They have no hop flavor or aroma, and hop bitterness is negligibly to moderately perceived. Sugar adjuncts are often used to lighten the body and flavor, sometimes contributing to a slight apple-like-like fruity ester. Sugar, corn, rice, and other cereal grains are used as an adjunct. Chill haze and diacetyl should be absent. Fruity esters should be very low."
132,27,Pale American-Belgo-Style Ale,Pale American-Belgo-Style Ale,3,North American Origin Ales,北美起源艾尔,21,,,,,5,,琥珀色，酵母与酒花平衡,"These beers must portray the unique characters imparted by yeasts typically used in fruity and big Belgian-Style ales - These beers are not traditional Belgian styles which are already defined. They are unique beers unto themselves. Notes of banana, berry, apple, sometimes coriander spice-like and/or smoky-phenolic characters should be portrayed with balance of hops and malt character when fermented with such yeast. Hop aroma, flavor and bitterness not usually found in the base style, can be medium to very high and must show the characters of American hop varieties. Color falls in the blonde to amber range. Esters should be at medium to high levels. Diacetyl should not be evident. Chill haze may be evident. Sulfur-like yeast character should be absent.. No Brettanomyces character should be present. An ale which exhibits Brettanomyces character would be classified as ""American-style Brett Ale."" A statement by the brewer that could include information such as style being elaborated upon, and other information about the entry with regard to flavor, aroma or appearance, is essential for fair assessment in competitions. Beers with Brettanomyces may be subcategorized under this category."
133,137,Aged Beer (Ale or Lager),Aged Beer (Ale or Lager),11,Hybrid/mixed Beer,混合/特种啤酒,20,,,,,,,,"Beers aged for over one year. Generally beers with high hopping rates, roast malt content, high alcohol content, complex herbal, smoke or fruit content (Wood aging, Brettanomyces characters and acidic beers must be classified or entered into other categories if that option is available), A brewer may brew any type of beer of any strength and enhance its character with extended and creative aging conditions. Beers in this category may be aged in bottles or any type of food grade vessel. In competition brewers may be required to state age of beer. Competition organizer may develop guidelines in which aged beers are subcategorized by aging time, vessel, styles, etc. Brewers should provide a statement describing the nature or style of the beer. This statement could include classic or other style, special ingredients, length of aging time, etc."
134,168,Chili Pepper Beer,辣椒啤酒,11,Hybrid/mixed Beer,混合/特种啤酒,19,,,,,,,,"Chili Pepper Beers are any range of color from pale to very dark depending on the underlying style. Clear or hazy beer is acceptable in appearance. Chili Beers are any beers using chili peppers as a flavor, aroma or “heat” inducing adjunct to create distinct and balanced (ranging from subtle to intense) character. Chili pepper aromas ranging from subtle to intense may or may not be evident, and should not be overpowered by hop aromas. Malt sweetness can vary from very low to medium-high levels, depending on the underlying beer style. Hop bitterness is very low to medium-high. Chili pepper aroma and flavor qualities should not be overpowered by hop aroma and flavor, and should be present in harmony with characteristics typical of the underlying beer style. Chili pepper qualities may vary widely as vegetal, spicy or ""heat"" inducing flavors and/or aromas."
135,171,Juicy or Hazy Pale Ale,Juicy or Hazy Pale Ale,3,North American Origin Ales,北美起源艾尔,18,30,50,4.4,5.4,4,7,,"Color: Straw to deep gold

Clarity: Low to very high degree of cloudiness is typical of these beers. Starch, yeast, hop, protein and/or other compounds contribute to a wide range of hazy appearance within this category.

Perceived Malt Aroma & Flavor: Low to low-medium malt aroma and flavor may be present

Perceived Hop Aroma & Flavor: Medium-high to very high hop aroma and flavor are present, with attributes typical of hops from any origin.

Perceived Bitterness: Low to medium. Perceived impression of bitterness is soft and well-integrated into overall balance, and may differ significantly from measured or calculated IBU levels.

Fermentation Characteristics: Low to medium fruity-estery aroma and ﬂavor may be present, but are usually overwhelmed by hop fruitiness. Diacetyl should not be perceived.

Body: Medium-low to medium-high. Perceived silky or full mouthfeel may contribute to overall flavor profile.

Additional notes: Grist may include a small amount of oat, wheat or other adjuncts to promote haziness. Descriptors such as “juicy” are often used to describe the taste and aroma hop-derived attributes present in these beers."
136,118,German-Style Rye Ale (Roggenbier) with or without Yeast,German-Style Rye Ale (Roggenbier) with or without Yeast,11,Hybrid/mixed Beer,混合/特种啤酒,18,10,15,4.9,5.5,4,25,黑麦麦芽酿造,"This beer can be made using phenol producing ale yeast. It should be brewed with at least 30 percent rye malt, and hop rates will be low. A banana -like fruity-estery aroma and flavor are typical but at low levels; phenolic, clove-like characteristics should also be perceived. Color is straw to dark amber, and the body should be light to medium in character. Diacetyl should not be perceived. If this style is packaged and served without yeast, no yeast characters should be evident in mouthfeel, flavor, or aroma. If the beer is served with yeast, the character should portray a full yeasty mouthfeel and appear hazy to very cloudy. Yeast flavor and aroma should be low to medium but not overpowering the balance and character of rye and barley malt and hops. Darker versions of this style will be dark amber to dark brown, and the body should be light to medium in character. Roasted malts are optionally evident in aroma and flavor with a low level of roast malt astringency acceptable when appropriately balanced with malt sweetness. Roast malts may be evident as a cocoa/chocolate or light caramel character. Aromatic toffee-like, caramel, or biscuit-like characters may be part of the overall flavor/aroma profile. As in the lighter colored versions, diacetyl should not be perceived."
137,115,Dark American Wheat Ale or Lager with Yeast,Dark American Wheat Ale or Lager with Yeast,11,Hybrid/mixed Beer,混合/特种啤酒,17,10,25,3.8,5,9,22,含酵母，云雾状，低酒精度,"This beer can be made using either ale or lager yeast. It can be brewed with 30 to 75 percent malt wheat, and hop rates may be low to medium. Fruity-estery aroma and flavor are typical but at low levels; however, phenolic, clove-like characteristics should not be perceived. Color is dark amber to dark brown, and the body should be light to medium in character. Roasted malts are optionally evident in aroma and flavor with a low level of roast malt astringency acceptable when appropriately balanced with malt sweetness. Roast malts may be evident as a cocoa/chocolate or caramel character. Aromatic toffee-like, caramel, or biscuit-like characters may be part of the overall flavor/aroma profile. Diacetyl should not be perceived. Because this style is intended to be served with yeast the character should portray a full yeasty mouthfeel and appear hazy to very cloudy. Chill haze is acceptable. Yeast flavor and aroma should be low to medium but not overpowering the balance and character of malt and hops."
138,141,Semi-Sweet Mead,Semi-Sweet Mead,12,"Mead, Cider, & Perry",蜂蜜酒、苹果酒、梨酒,17,,,,,,,,"Similar in balance, body, finish and flavor intensity to a semisweet (or medium-dry) white wine, with a pleasant mixture of honey character, light sweetness, soft fruity esters, and clean alcohol. Complexity, harmony, and balance of sensory elements are most desirable, with no inconsistencies in color, aroma, flavor or aftertaste. The proper balance of sweetness, acidity, alcohol and honey character is the essential final measure of any mead."
139,154,New England Cider,新英格兰苹果酒,12,"Mead, Cider, & Perry",蜂蜜酒、苹果酒、梨酒,17,,,7,13,,,,Substantial body and character.
140,120,Field Beer,田园啤酒,11,Hybrid/mixed Beer,混合/特种啤酒,16,5,70,2.5,13.1,5,50,,"Field beers are any beers using vegetables as an adjunct in either the mash, kettle, primary or secondary fermentation, providing obvious (ranging from subtle to intense), yet harmonious, qualities. Vegetable qualities should not be overpowered by hop character. If a vegetable has an herbal or spice quality (such as the ""heat"" of a chili pepper), it should be classified as herb/spice beer style.  Note Chili-flavored beer with notable roast or vegetal character is evident it should be entered as Field Beer.  A statement by the brewer explaining what vegetables are used is essential in order for fair assessment in competitions. If this beer is a classic style with vegetables, the brewer should also specify the classic style. Note: If no Pumpkin beer category exists in a competition, then Pumpkin beers should be entered in this category."
141,131,Historical Beer,历史风格啤酒,11,Hybrid/mixed Beer,混合/特种啤酒,15,,,,,,,,"Historical Beers are any range of color. Malt sweetness will vary dramatically depending on overall balance desired. Hop bitterness is very low to very high. Above all beers in this category are reflective of an established historical beer and/or brewing heritage from any period of time or part of the world, that are not already a beer style already established in these guidelines. This beer commemorates combinations of unique brewing ingredients and/or techniques established in past periods. Examples of Historical Beers might include current day versions of historic styles which are not represented elsewhere in these guidelines, such as Finnish-style Sahti, South American Chicha, Nepalese Chong/Chang, African sorghum based beers, and others. In evaluating these beers, judges will weigh several factors such as uniqueness, heritage, regional distinction, technical brewing skills, and balance of character, background story & information and overall spirit of the intent of this category. ""Historical beers"" that are not represented elsewhere as a definitive style in these guidelines could possibly be entered in such categories as Experimental, Herb & Spice, Field Beer, etc. but by choice a brewer may categorize (and enter) their beer as Historical beer."
142,56,Kellerbier (Cellar beer) or Zwickelbier - Ale,Kellerbier (Cellar beer) or Zwickelbier - Ale,4,German Origin Ales,德国起源艾尔,15,,,,,,,,"These beers are unfiltered German-style Altbier and Kölsch. They are packaged and/or served intentionally with low to moderate amounts of yeast. Products may be filtered and again dosed with yeast in the package, manifesting themselves as bottle conditioned beers or unfiltered beer with yeast present. They will most likely not be clear, and may appear slightly hazy to moderately cloudy. Yeast character, flavor and aroma are desirable, yet should be low to medium but not overpowering the balance and character of malt and hops. Low to moderately low levels of yeast-generated sulfur containing compounds should be apparent in aroma and flavor, and low levels of acetaldehyde or other volatiles normally removed during fermentation may or may not be apparent. The sulfur and acetaldehyde characters should contribute positively to the beer drinking experience. Head retention may not be optimal. The brewer must indicate the classic style on which the entry is based to allow for accurate judging. Beer entries not accompanied by this information will be at a disadvantage during evaluation."
143,147,Braggot,布拉格特,12,"Mead, Cider, & Perry",蜂蜜酒、苹果酒、梨酒,14,,,,,,,,"A harmonious blend of mead and beer, with the distinctive characteristics of both. A wide range of results are possible, depending on the base style of beer, variety of honey and overall sweetness and strength. Beer flavors tend to somewhat mask typical honey flavors found in other meads."
144,140,Dry Mead,Dry Mead,12,"Mead, Cider, & Perry",蜂蜜酒、苹果酒、梨酒,14,,,,,,,,"Similar in balance, body, finish and flavor intensity to a dry white wine, with a pleasant mixture of subtle honey character, soft fruity esters, and clean alcohol. Complexity, harmony, and balance of sensory elements are most desirable, with no inconsistencies in color, aroma, flavor or aftertaste. The proper balance of sweetness, acidity, alcohol and honey character is the essential final measure of any mead."
145,142,Sweet Mead,Sweet Mead,12,"Mead, Cider, & Perry",蜂蜜酒、苹果酒、梨酒,14,,,,,,,,"Similar in balance, body, finish and flavor intensity to a well-made dessert wine (such as Sauternes), with a pleasant mixture of honey character, residual sweetness, soft fruity esters, and clean alcohol. Complexity, harmony, and balance of sensory elements are most desirable, with no inconsistencies in color, aroma, flavor or aftertaste. The proper balance of sweetness, acidity, alcohol and honey character is the essential final measure of any mead."
146,133,Wood- and Barrel-Aged Pale to Amber Beer,Wood- and Barrel-Aged Pale to Amber Beer,11,Hybrid/mixed Beer,混合/特种啤酒,14,,,3.75,6.5,4,18,铜红色，中等麦芽与酒花平衡,"Any classic style or unique experimental beer that has been aged for a period of time in a wooden barrel or in contact with wood. This beer is aged with the intention of imparting the particularly unique character of the wood and/or what has previously been in the barrel. New wood character can be characterized as a complex blend of vanillin and/or other unique wood character but wood aged is not necessarily synonymous with imparting wood-flavors. Used sherry, rum, bourbon, scotch, port, wine and other barrels are often used, imparting complexity and uniqueness to beer. Ultimately a balance of flavor, aroma and mouthfeel are sought with the marriage of new beer with wood and/or barrel flavors. Primary character of the beer style may or may not be apparent. Sour wood-aged beer of any color is outlined in other categories. Fruited or spiced beer that is wood and barrel aged would also be appropriately entered in this category. Beers in this style may or may not have Brettanomyces character.  The brewer should explain the special nature of the beer to allow for accurate judging. Comments could include: type of wood used (new or old, oak or other wood type), type of barrel used (new, port/ whiskey/ wine/ sherry/ other), base beer style or achieved character. Beer entries not accompanied by this information will be at a disadvantage during judging."
147,116,Dark American Wheat Ale or Lager without Yeast,Dark American Wheat Ale or Lager without Yeast,11,Hybrid/mixed Beer,混合/特种啤酒,13,10,25,3.8,5,9,22,含酵母，云雾状，低酒精度,"This beer can be made using either ale or lager yeast. It can be brewed with 30 to 75 percent malted wheat, and hop rates may be low to medium. A fruity-estery aroma and flavor are typical but at low levels; however, phenolic, clove-like characteristics should not be perceived. Color is dark amber to dark brown, and the body should be light to medium in character. Roasted malts are optionally evident in aroma and flavor with a low level of roast malt astringency acceptable when appropriately balanced with malt sweetness. Roast malts may be evident as a cocoa/chocolate or caramel character. Aromatic toffee-like, caramel, or biscuit-like characters may be part of the overall flavor/aroma profile. Diacetyl should not be perceived. Because this style is packaged and served without yeast, no yeast characters should be evident in mouthfeel, flavor, or aroma. Chill haze is also acceptable."
148,143,Cyser (Apple Melomel),苹果蜂蜜酒,12,"Mead, Cider, & Perry",蜂蜜酒、苹果酒、梨酒,12,,,,,,,,"In well-made examples of the style, the fruit is both distinctive and well-incorporated into the honey-sweet-acid-tannin-alcohol balance of the mead. Some of the best strong examples have the taste and aroma of an aged Calvados (apple brandy from northern France), while subtle, dry versions can taste similar to many fine white wines."
149,163,Double Red Ale,Double Red Ale,1,British Origin Ales,英国起源艾尔,12,,,,,,,,"Double Red Ales are deep amber to dark copper/reddish brown. A small amount of chill haze is allowable at cold temperatures. Fruity-ester aroma is medium. Hop aroma is high, arising from any variety of hops. Medium to medium-high caramel malt character is present. Low to medium biscuit or toasted characters may also be present. Hop flavor is high and balanced with other beer characters. Hop bitterness is high to very high. Alcohol content is medium to high. Complex alcohol flavors may be evident. Fruity-ester flavors are medium. Diacetyl should not be perceived. Body is medium to full."
150,49,South German-Style Kristall Weizen / Kristall Weissbier,South German-Style Kristall Weizen / Kristall Weissbier,4,German Origin Ales,德国起源艾尔,11,10,15,4.9,5.5,3,9,,"The aroma and flavor of a Weissbier without yeast is very similar to Weissbier with yeast (Hefeweizen/Hefeweissbier) with the caveat that fruity and phenolic characters are not combined with the yeasty flavor and fuller-bodied mouthfeel of yeast. The phenolic characteristics are often described as clove- or nutmeg-like and can be smoky or even vanilla-like. Banana-like esters are often present. These beers are made with at least 50 percent malted wheat, and hop rates are quite low. Hop flavor and aroma are absent. Weissbier is well attenuated and very highly carbonated, yet its relatively high starting gravity and alcohol content make it a medium- to full-bodied beer. The color is very pale to deep golden. Because the beer has been filtered, yeast is not present. The beer will have no flavor of yeast and a cleaner, drier mouthfeel. The beer should be clear with no chill haze present. No diacetyl should be perceived."
151,95,American-Style Low-Carbohydrate Light Lager,American-Style Low-Carbohydrate Light Lager,8,North American Lager,北美拉格,9,3,10,3.5,4.4,2,10,,"These beers are extremely light straw to light amber in color, light in body, and high in carbonation. They should have a maximum carbohydrate level of 3.0 gm per 12 oz. (356 ml). These beers are characterized by extremely high degree of attenuation (often final gravity is less than 1.000 (0 ºPlato), but with typical American-style light lager alcohol levels. Corn, rice, or other grain adjuncts are often used. Flavor is very light/mild and very dry. Hop flavor, aroma and bitterness are negligible to very low. Very low yeasty flavors and fruity esters are acceptable in aroma and flavor. Chill haze and diacetyl should not be perceived."
152,146,Metheglin,香料蜂蜜酒,12,"Mead, Cider, & Perry",蜂蜜酒、苹果酒、梨酒,8,,,,,,,,"In well-made examples of the style, the herbs/spices are both distinctive and well-incorporated into the honey-sweet-acid-tannin-alcohol balance of the mead. Different types of herbs/spices can result in widely different characteristics; allow for a variation in the final product."
153,167,Belgian-style Fruit Beer,Belgian-style Fruit Beer,11,Hybrid/mixed Beer,混合/特种啤酒,8,,,,,,,添加水果，果味与啤酒平衡,"Belgian-Style Fruit Beers are any range of color from pale to dark depending on underlying Belgian style being fruited. Clear to hazy beer is acceptable in appearance. Fruit aromas ranging from subtle to intense should be evident, and should not be overpowered by hop aromas. Belgian-Style Fruit Beers are fermented with traditional Belgian-, farmhouse-, saison- and/or Brettanomyces-type yeast using fruit or fruit extracts as an adjunct in either the mash, kettle, primary or secondary fermentation providing obvious (ranging from subtle to intense), yet harmonious, fruit qualities. Malt sweetness can vary from not perceived to medium-high levels. Acidic bacterial (not wild yeast) fermentation characters may be evident (but not necessary) and if present contribute to acidity and enhance fruity balance. Body is variable with style. Classifying these beers is complex, with exemplary versions depending on the exhibition of fruit characters more so than the addition of fruit itself, within a Belgian beer style. As an example, a fruited Saison exhibiting some Brett character would be appropriately considered as Belgian Fruit Beer; whereas a fruited Brett Beer might more appropriately be considered as Brett Beer. Lambic-Style fruit beers should be entered in the Belgian-Style Fruit Lambic category. Fruited Belgian style beers brewed with additional unusual fermentables should be entered in this category. Fruit beers fermented using German, British or American ale or lager yeast would be more appropriately categorized as American-Style Fruit Beer or as Fruit Wheat Beer. For purposes of competition coconut is defined as a vegetable; beers exhibiting coconut character would be appropriately entered as Field Beer."
154,91,German-Style Eisbock,德式冰博克,7,European-germanic Lager,欧洲日耳曼式拉格,7,,50,,33,,,,A stronger version of Doppelbock. Malt character can be very sweet. The body is very full and deep copper to almost black in color. Alcoholic strength is very high. Hop bitterness is subdued. Hop flavor and aroma are absent. Fruity esters may be evident but not overpowering. Typically these beers are brewed by freezing a Doppelbock and removing resulting ice to increase alcohol content. Diacetyl should be absent
155,160,Grodziskie,Grodziskie,13,Other Origin,其他起源,7,15,25,2.1,2.9,3,6,,"Grodziskies are straw to golden colored. Chill haze is allowable at cold temperatures. Aroma is dominated by oak smoke notes. Fruity-ester aroma can be low. Diacetyl and DMS aromas should not be perceived. Hop aroma is not perceived to very low European noble hop aroma notes. Distinctive character comes from 100% oak wood smoked wheat malt. Overall balance is a sessionably medium to medium-high assertively oak-smoky malt emphasized beer. Hop flavor is very low to low European noble hop flavor notes. Hop bitterness is medium-low to medium clean hop bitterness. Ale fermentation temperatures are managed to lend a crisp overall flavor impression. Low fruity-ester flavor may be present. Sourness, diacetyl, and DMS should not be perceived on the palate. Grodziskie (also known as Grätzer) is a Polish ale style. Historic versions were most often bottle conditioned to relatively high carbonation levels. Body is low to medium low."
156,85,Bamberg-Style Märzen Rauchbier,Bamberg-Style Märzen Rauchbier,7,European-germanic Lager,欧洲日耳曼式拉格,6,18,25,5.3,5.9,4,15,慕尼黑啤酒节，麦芽香甜,"Bamberg-style Rauchbier Märzen should have beechwood smoky characters that range from detectable to prevalent in the aroma and flavor. Smoke character is neither harshly phenolic nor acrid, but rather very smooth, almost rendering a perception of mild sweetness to this style of beer. The beer is generally toasted malty sweet and full-bodied with low to medium-low hop bitterness. Noble-type hop flavor is low but may be perceptible. The aroma should strike a balance between malt, hop, and smoke. Fruity esters, diacetyl, and chill haze should not be perceived."
157,51,South German-Style Bernsteinfarbenes Weizen / Weissbier,South German-Style Bernsteinfarbenes Weizen / Weissbier,4,German Origin Ales,德国起源艾尔,5,10,15,4.8,5.4,9,13,,"The German word Bernsteinfarben means amber colored, and as such, a Bernsteinfarbenes Weizen is dark yellow to amber in color. This beer style is characterized by a distinct sweet maltiness and caramel or bready character from the use of medium colored malts. Estery and phenolic elements of this Weissbier should be evident but subdued. Bernsteinfarbenes Weissbier is well attenuated and very highly carbonated, and hop bitterness is low. Hop flavor and aroma are absent. The percentage of wheat malt is at least 50 percent. If this is served with yeast, the beer may be appropriately very cloudy. No diacetyl should be perceived."
158,153,Traditional Perry,Traditional Perry,12,"Mead, Cider, & Perry",蜂蜜酒、苹果酒、梨酒,5,,,5,9,,,,"Tannic. Medium to medium-sweet. Still to lightly sparkling. Only very slight acetification is acceptable. Mousiness, ropy/oily characters are serious faults."
159,96,American-Style Amber (Low Calorie) Lager,American-Style Amber (Low Calorie) Lager,8,North American Lager,北美拉格,5,8,15,3.5,4.4,4,12,铜红色，中等麦芽与酒花平衡,"These beers are pale golden to amber in color, light to medium-light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts may be used but all malt formulations are also made. Malt and hop flavors are mild yet evident. Hop bitterness is evident and hop aroma may be negligible to evident. Light fruity esters are acceptable. Chill haze and diacetyl should be absent."
160,162,Energy Enhanced Malt Beverage,Energy Enhanced Malt Beverage,14,Malternative Beverages,替代麦芽饮料,5,,,1,,,,,"Energy enhanced malt beverages are alcoholic drinks that are supplemented with caffeine or other stimulants such as guarana, ginseng, or taurine.  At a minimum, these beverages contain at least one percent of alcohol by volume."
161,128,Indigenous Beer (Lager or Ale),Indigenous Beer (Lager or Ale),11,Hybrid/mixed Beer,混合/特种啤酒,5,,,,,,,,"This beer style is unusual in that its impetus is to commemorate combinations of ingredients and/or techniques adopted by or unique to a particular region. At least one regional combination of ingredients and/or techniques must be unique and differentiated from ingredients and/or techniques commonly used by brewers throughout the world.  There are many excellent and popular beers that are brewed with either non-traditional or traditional ingredients and/or processes yet their character may distinctively vary from all other styles currently defined or included in these guidelines. These grain-based beers are brewed reflecting local beer culture (process, ingredients, climate, etc.). This category recognizes uniquely local or regional beer types and beers distinctively not defined in any recognized style in these guidelines. They may be light or dark, strong or weak, hoppy or not hoppy. They may have characters which are unique to yeast, fermentation techniques, aging conditions, carbonation level - or higher or lower levels of profound characters normally associated with other beer types. Examples of indigenous beers might include current day versions of highly regional and/or historic styles which are not represented elsewhere in these guidelines, such as Finnish-style sahti, S American chicha, African sorghum based beers, and others. Other examples might include beers made wholly unique by use of multiple local ingredients and/or techniques, with the resulting beer being highly representative of location, as well as differentiated from traditional beer style categories. Beers brewed with non-traditional hop varieties, grains, malt, yeast or other ingredient that still closely approximate an existing classical category would be more appropriately entered into the classical category. New and innovative beers that do not represent locally adopted techniques or grown ingredients would be more appropriately entered into the experimental category. Proper evaluation of entries in this category requires the need to provide  judges with additional information about the beer.  A written summary illustrating the intent, background, history, design and/or development of the beer as well as  describing any regional and/or stylistic context, choice of ingredients, process and any other unique information, helps establish a basis for comparison between highly diverse entries. Entering brewers must provide a statement of 100 words or less illustrating the above and why it is an indigenous beer without revealing the company's identity. This statement should be carefully crafted and will be evaluated by judges and carry significant weight in their decisions. Statements that contain information which might identify or otherwise create bias towards the entry will be modified by the Competition Manager. Entries not accompanied by this information will be at a profound disadvantage during judging."
162,107,Dry Lager,Dry Lager,10,International Styles,国际风格,4,15,23,4.3,5.5,2,4,,"This straw-colored lager lacks sweetness, is light in body, and is only mildly flavored by malt. Its alcoholic strength may contribute to the overall flavor character. Bitterness is low and carbonation is high. Chill haze, fruity esters, and diacetyl should be absent."
163,169,Mixed Culture Brett Beer,Mixed Culture Brett Beer,11,Hybrid/mixed Beer,混合/特种啤酒,3,,,,,,,,"Mixed Culture Brett Beers are any range of color and may take on the color of added fruits or other ingredients. Chill haze, bacteria and yeast-induced haze are allowable at low to medium levels at any temperature. Moderate to intense yet balanced fruity-ester aromas are evident. In darker versions, roasted malt, caramel-like and chocolatelike aromas are subtly present. Diacetyl and DMS aromas should not be perceived. Hop aroma evident over a full range from low to high. In darker versions, roasted malt, caramel-like and chocolate-like flavors are subtly present. Fruited versions will exhibit fruit flavors in harmonious balance with other characters. Hop flavor is evident over a full range from low to high. Hop bitterness is evident over a full range from low to high. The evolution of natural acidity develops balanced complexity. Horsey, goaty, leathery, phenolic and light to moderate and/or fruity acidic character evolved from Brettanomyces organisms may be evident, not dominant and in balance with other character. Cultured yeast may be used in the fermentation. Bacteria should be used and in evidence in this style of beer. Acidity will be contributed by bacteria, but may or may not dominate. Moderate to intense yet balanced fruity-ester flavors are evident. Diacetyl and DMS flavors should not be perceived. Wood vessels may be used during the fermentation and aging process, but wood-derived flavors such as vanillin must not be present. Residual flavors that come from liquids previously aged in a barrel such as bourbon or sherry should not be present. Body is evident over a full range from low to high. For purposes of competition entries exhibiting wood-derived characters or characters of liquids previously aged in wood would more appropriately be entered in other Wood-Aged Beer categories. Wood- and barrel-aged sour ales should not be entered here and are classified elsewhere."
164,179,American-Style India Pale Lager,American-Style India Pale Lager,8,North American Lager,北美拉格,3,12,23,5,6,1,5,,
165,99,American-Style Ice Lager,American-Style Ice Lager,8,North American Lager,北美拉格,2,7,20,4.75,6.25,2,8,,"This style is slightly higher in alcohol than most other light-colored, American-style lagers. Its body is low to medium and has low residual malt sweetness. It has few or no adjuncts. Color is very pale to golden. Hop bitterness is low but certainly perceptible. Hop aroma and flavor are low. Chill haze, fruity esters, and diacetyl should not be perceived. Typically these beers are chilled before filtration so that ice crystals (which may or may not be removed) are formed. This can contribute to a higher alcohol content (up to 0.5% more)."
166,156,Apple Wine,Apple Wine,12,"Mead, Cider, & Perry",蜂蜜酒、苹果酒、梨酒,2,,,9,12,,,,"Like a dry white wine, balanced, and with low astringency and bitterness."
167,86,Bamberg-Style Helles Rauchbier,Bamberg-Style Helles Rauchbier,7,European-germanic Lager,欧洲日耳曼式拉格,2,18,25,4.5,5.5,4,6,慕尼黑淡拉格，麦芽香甜,"Helles Rauchbier should have beech wood smoky characters that range from detectable to prevalent in the aroma and flavor. Smoke character is not harshly phenolic, but rather very smooth, almost rendering a perception of mild sweetness to this style of beer. This is a medium-bodied, smoke and malt-emphasized beer, with malt character often balanced with low levels of yeast produced sulfur compounds (character). This beer should be perceived as having low bitterness. Certain renditions of this beer style approach a perceivable level of hop flavor (note: hop flavor does not imply hop bitterness) and character but it is essentially balanced with malt character to retain its style identity. Helles Rauchbier malt character is reminiscent of freshly and very lightly toasted sweet malted barley. There should not be any caramel character. Color is light straw to golden. Noble-type hop flavor is low but may be perceptible. The aroma should strike a balance between malt, hop, and smoke. Fruity esters, diacetyl, and chill haze should not be perceived."
168,159,Adambier,Adambier,4,German Origin Ales,德国起源艾尔,2,30,50,7.1,8.7,15,35,,"Adambier is light brown to very dark in color. It may or may not use wheat in its formulation. Original styles of this beer may have a low or medium low degree of smokiness. Smoke character may be absent in contemporary versions of this beer. Astringency of highly roasted malt should be absent. Toast and caramel-like malt characters may be evident. Low to medium hop bitterness are perceived. Low hop flavor and aroma are perceived. It is originally a style from Dortmund. Adambier is a strong, dark, hoppy, sour ale extensively aged in wood barrels. Extensive aging and the acidification of this beer can mask malt and hop character to varying degrees. Traditional and non-hybrid varieties of European hops were traditionally used. A Kölsch-like ale fermentation is typical Aging in barrels may contribute some level of Brettanomyces and lactic character. The end result is a medium to full bodied complex beer in hop, malt, Brett and acidic balance."
